segment,n_zone_hours,demand_rmse,pct_slots_surged,pct_slots_discounted,rev_gain_pct,peak_reduction_pp
CBD,5952,0.0277,0.1,67.51,-0.553,0.472
non_CBD,17760,0.0379,0.91,55.7,-0.21,2.735
