zone,RMSE,MAE,R2,n,util_mean
1060,0.0119,0.0074,0.724,96.0,0.0872
1061,0.0107,0.0078,0.715,96.0,0.1918
1062,0.0162,0.0112,0.9668,96.0,0.1298
1066,0.0186,0.0137,0.8752,96.0,0.2195
1067,0.0302,0.0209,0.9202,96.0,0.3827
1068,0.0072,0.0056,0.9247,96.0,0.2171
1071,0.0185,0.0145,0.9573,96.0,0.4048
1072,0.0198,0.0135,0.9621,96.0,0.252
1074,0.0156,0.0122,0.7771,96.0,0.3705
1075,0.0376,0.028,0.9189,96.0,0.3095
1076,0.0146,0.0115,0.9793,96.0,0.3667
1081,0.0211,0.016,0.8735,96.0,0.1798
1082,0.0259,0.017,0.8608,96.0,0.3172
1083,0.0253,0.0174,0.9544,96.0,0.3742
1085,0.0137,0.0102,0.8814,96.0,0.4477
1086,0.0618,0.0407,0.7636,96.0,0.2902
1088,0.0139,0.0111,0.9176,96.0,0.2736
1090,0.0224,0.0161,0.8154,96.0,0.1523
1092,0.0355,0.0287,0.8934,96.0,0.3986
1093,0.0835,0.048,0.844,96.0,0.283
1095,0.034,0.0242,0.8921,96.0,0.3592
1096,0.0119,0.0087,0.7588,96.0,0.1841
1098,0.0996,0.0852,-0.0676,96.0,0.6533
1099,0.0336,0.0211,0.9197,96.0,0.2162
1100,0.0134,0.0096,0.8523,96.0,0.1514
1101,0.0119,0.0074,0.7809,96.0,0.0722
1102,0.0105,0.008,0.886,96.0,0.1553
1104,0.021,0.0149,0.7473,96.0,0.1409
1105,0.016,0.0101,0.7719,96.0,0.0837
1106,0.0217,0.0141,0.7404,96.0,0.1163
1107,0.0254,0.0165,0.7741,96.0,0.1706
1109,0.0125,0.0085,0.7352,96.0,0.0906
1110,0.0174,0.0133,0.918,96.0,0.096
1111,0.0187,0.013,0.9267,96.0,0.2108
1112,0.0353,0.0234,0.9001,96.0,0.2814
1113,0.0133,0.0094,0.4549,96.0,0.1137
1114,0.0163,0.0119,0.7895,96.0,0.0719
1115,0.0196,0.0151,0.8704,96.0,0.1974
1119,0.0139,0.01,0.937,96.0,0.1824
1121,0.0281,0.021,0.8059,96.0,0.3025
1122,0.0079,0.0057,0.7919,96.0,0.1021
1124,0.0454,0.0366,0.7108,96.0,0.3682
1126,0.0202,0.0155,0.7937,96.0,0.2683
1131,0.0442,0.0323,0.9177,96.0,0.5889
1134,0.0177,0.0141,0.8169,96.0,0.1464
1137,0.0237,0.0184,0.9237,96.0,0.4348
1138,0.0259,0.0171,0.809,96.0,0.0962
1143,0.0152,0.0083,0.7852,96.0,0.0908
1144,0.0189,0.0155,0.9109,96.0,0.1859
1149,0.0237,0.0171,0.8218,96.0,0.3438
1154,0.0214,0.0172,0.8178,96.0,0.1043
1156,0.0159,0.0111,0.9121,96.0,0.088
1159,0.0174,0.0135,0.8753,96.0,0.2836
1160,0.0309,0.0153,0.841,96.0,0.0438
1162,0.0313,0.0238,0.9166,96.0,0.2046
1163,0.0291,0.0198,0.8737,96.0,0.1693
1164,0.0187,0.0151,0.9434,96.0,0.396
1166,0.0177,0.0135,0.9043,96.0,0.2924
1167,0.0153,0.012,0.9798,96.0,0.3814
1168,0.0188,0.0148,0.9392,96.0,0.1813
1170,0.0304,0.0181,0.6876,96.0,0.0565
1172,0.0195,0.0142,0.8181,96.0,0.2077
1173,0.0239,0.0182,0.8696,96.0,0.4378
